TF name		Call	methyl-SELEX call	bisulfite call
PAX2		MethylPlus	Little effect	MethylPlus
				MethylPlus
				MethylPlus
PAX3		MethylPlus	Little effect	MethylPlus
				weak MethylPlus
PAX6		MethylPlus	Little effect	MethylPlus
				MethylPlus
PAX6		MethylPlus	Little effect	MethylPlus
				MethylPlus
PAX7		MethylPlus	Little effect and MethylMinus	MethylPlus
				MethylPlus
PAX8		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
				MethylPlus
PAX9		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
				MethylPlus
PBX1		MethylPlus	MethylPlus	MethylPlus
PDX1		MethylPlus	MethylPlus	low complexity motif
PKNOX1		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
PKNOX2		MethylPlus	MethylPlus	MethylPlus
				weak MethylPlus
POU2F2		MethylPlus	MethylPlus	MethylPlus
POU2F3		MethylPlus	MethylPlus	low enrichment
POU3F1		MethylPlus	MethylPlus	MethylPlus
POU3F1		MethylPlus	MethylPlus	MethylPlus
POU3F1		MethylPlus	MethylPlus	MethylPlus
POU3F2		MethylPlus	MethylPlus	weak MethylPlus
POU3F2		MethylPlus	MethylPlus	weak MethylPlus
POU3F2		MethylPlus	MethylPlus	MethylPlus
POU3F4		MethylPlus	MethylPlus	MethylPlus
POU3F4		MethylPlus	MethylPlus	MethylPlus
POU3F4		MethylPlus	MethylPlus	MethylPlus
POU5F1		MethylPlus	MethylPlus	MethylPlus
POU5F1		MethylPlus	MethylPlus	MethylPlus
PPARD		MethylPlus	MethylPlus	MethylPlus
PRDM4		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
				MethylPlus
RARA		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
RARB		MethylPlus	MethylPlus	MethylPlus
RARG		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
RFX5		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
RORB		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
RXRB		MethylPlus	MethylPlus	MethylPlus
RXRG		MethylPlus	MethylPlus	MethylPlus
SCRT1		MethylPlus	MethylPlus	MethylPlus
SCRT2		MethylPlus	MethylPlus	MethylPlus
SNAI1		MethylPlus	MethylPlus	MethylPlus
