TF name		Call	methyl-SELEX call	bisulfite call
SP8		Little effect	Little effect	
SP9		Little effect	Little effect	
KLF3		MethylPlus	MethylPlus	
		Little effect	Little effect	
KLF5		Little effect	Little effect	
GATA6		Little effect	Little effect	
GLI3		Little effect and MethylMinus	Little effect and MethylMinus	
SNAI3		MethylPlus	MethylPlus	
ZNF385D		Little effect	Little effect	
ZNF454		Little effect	Little effect	
		Little effect	Little effect	
ZNF684		MethylPlus	MethylPlus	
ZBTB33		MethylPlus	MethylPlus	
ZBTB12		Little effect	Little effect	
		MethylMinus	MethylMinus	
ZBTB37		MethylPlus	MethylPlus	
CUX2		inconclusive	MethylPlus	
				
