K562,EGR1,0.685778527262507,0.7852726250702642,0.7652094953949928,632,39
GM12878,EGR1,0.8287420382165605,0.8554140127388534,0.8581210191082802,793,8
K562,NRF1,0.4797843665768194,0.9009433962264151,0.8611859838274932,113,7
K562,MAZ,0.46042944785276074,0.8507157464212679,0.7294478527607362,499,10
K562,CTCF,0.8003540305010893,0.722412854030501,0.7644607843137255,386,170
GM12878,CTCF,0.8029708153383065,0.8635431662522357,0.8231034332329974,364,81
A549,CTCF,0.7954958920187793,0.7820422535211269,0.8451291079812205,404,120
K562,ZNF263,0.5266414141414142,0.4838383838383838,0.43560606060606055,449,9
HeLa,CTCF,0.8388786827243656,0.7630128597672995,0.7815200381030143,489,213
K562,ZBTB7A,0.6787234042553192,0.4726950354609929,0.5354609929078015,292,10
HepG2,CTCF,0.8316250266922913,0.8062780269058296,0.8143924834507794,328,105
K562,CTCFL,0.8390827922077922,0.6599025974025974,0.6217532467532468,235,11
SKNSH,CTCF,0.8007455507455508,0.6984327400994068,0.7613836780503447,381,84
