GM12878,NRF1,0.8100592166087374,0.7375100937401257,0.779719481796159,2269,78
GM12878,E2F4,0.7479484173505275,0.7282385697538102,0.8414419695193435,1714,8
HepG2,USF2,0.7312835249042144,0.7960317460317459,0.8679693486590039,1550,290
K562,ELK1,0.6121575342465754,0.812785388127854,0.9102454337899544,454,16
K562,RFX1,0.7565464426877471,0.6164772727272727,0.6175889328063241,269,16
K562,MXI1,0.6901742993848257,0.7220779220779221,0.7925837320574163,1559,19
GM12878,SRF,0.7530452769478281,0.8226844403585383,0.8653183176281315,248,19
A549,MAFK,0.5606334841628959,0.7375565610859729,0.7176470588235294,147,17
K562,AR,0.5584868421052632,0.5130921052631578,0.5101315789473684,238,38
HepG2,HNF4A,0.6928018880293693,0.7854333289628949,0.8681001704470958,292,29
K562,JUND,0.5561728395061728,0.6370370370370371,0.6185185185185185,99,9
K562,IRF1,0.77811349949816,0.6212675644028103,0.608564737370358,910,56
K562,EGR1,0.6175429433884317,0.6574602254322506,0.7201369165262215,8798,1108
HeLa,NFE2L2,0.7641070389761488,0.7175683536940081,0.679173938336242,391,9
K562,TFDP1,0.5533923303834809,0.7480088495575221,0.8311209439528023,577,12
K562,ATF2,0.7337428337428338,0.6209800709800709,0.6716625716625717,497,90
K562,SRF,0.6863787375415281,0.7209302325581395,0.7634551495016612,222,7
K562,CREB3L1,0.49053488883997354,0.6927140655954215,0.7730574510235527,837,11
A549,ZBTB33,0.7039986559139786,0.7862903225806452,0.8532930107526882,764,20
HepG2,BRCA1,0.8980531813865148,0.8410256410256409,0.9643874643874644,417,27
SKNSH,REST,0.7973901098901098,0.6913003663003663,0.6547619047619048,743,15
GM12878,RELA,0.5305438529299119,0.7475105323630792,0.8364611260053618,387,14
K562,NFYA,0.6087801087801088,0.754985754985755,0.8961408961408961,310,13
HepG2,NFIL3,0.6713295074127211,0.6439502630320421,0.6970349115255858,157,34
GM12878,EGR1,0.6363063533006077,0.6776444074496474,0.7601551949847081,11324,487
GM12878,MAZ,0.49112949896203323,0.6945696552676149,0.8093486028595851,9011,42
HepG2,CREM,0.7360104669887279,0.8812399355877617,0.9444444444444445,629,8
SKNSH,NRF1,0.7182280655136692,0.7159790658179004,0.7727066172194815,2672,101
HepG2,NR2F6,0.6722072476789458,0.7532195268044324,0.8295896975142258,380,9
GM12878,PAX5,0.6590260588558856,0.6867780528052806,0.7402451182618262,973,64
K562,MBD2,0.5500643915003219,0.7546683837733419,0.8931101094655506,1561,8
SKNSH,MAX,0.5073851030110935,0.8187321711568939,0.8212995245641839,656,25
K562,NRF1,0.7217393641323335,0.7135357037275928,0.7947190195920341,2522,942
K562,MAZ,0.42988439291796404,0.5945621340830537,0.7070321553452845,7078,114
HepG2,NFYC,0.7719146482122261,0.8771626297577855,0.922722029988466,295,6
HeLa,MAFK,0.4341085271317829,0.7164082687338501,0.7713178294573644,135,6
K562,CTCF,0.8211612136376363,0.6886242945446911,0.749923549163952,4500,2432
K562,JUN,0.7672758423757853,0.6866076527698459,0.7455739577384353,137,34
SKNSH,MXI1,0.5919905533063428,0.8487112010796221,0.8976855600539811,1988,38
HeLa,MAX,0.45153621888315765,0.8006952231442027,0.8324512222471406,672,35
A549,FOSL2,0.59086531337976,0.860534894058379,0.8757223292339605,431,34
K562,NFE2L2,0.7560856864654333,0.5654819863680624,0.621713729308666,329,13
HepG2,MAZ,0.5136231469564803,0.7172779922779923,0.8065768149101482,7878,108
GM12878,RUNX3,0.608991504090623,0.7649465072372562,0.8484896161107616,482,28
SKNSH,JUND,0.5076013513513514,0.7668918918918917,0.839527027027027,127,16
K562,CEBPD,0.6746031746031746,0.34467120181405886,0.35147392290249435,70,7
HepG2,SRF,0.7969924812030076,0.8164160401002507,0.8778195488721804,235,7
GM12878,MAX,0.610789183222958,0.7781456953642385,0.8890728476821192,610,6
HepG2,USF1,0.6776576576576576,0.7464504504504504,0.7984009009009009,890,150
A549,USF2,0.7503845636164364,0.803793239371623,0.853123137269983,1719,131
K562,ATF4,0.8032846715328468,0.5186131386861313,0.5357664233576642,147,10
K562,ATF1,0.7135131655185734,0.7441254104165326,0.7970128114337218,683,49
K562,E2F6,0.5996956820508506,0.6936205421627609,0.7604723238952698,1308,57
K562,NFE2,0.8509508416943035,0.5907602535577852,0.617270475630746,370,83
HepG2,CEBPB,0.5099111414900889,0.5082023239917977,0.5181134654818865,96,77
K562,KLF13,0.5064017884361345,0.7409816075602073,0.848592622700945,770,13
GM12878,CTCF,0.8329144997781305,0.7177594648208331,0.7423733033248502,4059,1247
HeLa,NRF1,0.7753275060608082,0.8175455765367021,0.8610425331583669,2330,189
HepG2,REST,0.9380952380952381,0.7632958801498128,0.7702514713750669,638,15
HepG2,ATF7,0.9300027703389047,0.7424508264844399,0.7610120971465509,270,49
HeLa,MAZ,0.5441098746525062,0.8054455620661527,0.8722392963561001,9346,104
GM12878,ATF3,0.8363222551277831,0.8139190523198421,0.8749040254469672,1031,18
K562,ATF7,0.9000127697612055,0.6852892350913038,0.7258332269186567,232,41
HepG2,JUN,0.8714953271028038,0.7945482866043614,0.8454828660436138,137,30
K562,SP2,0.7152442652211278,0.682901434521055,0.8452766576320486,4329,7
GM12878,MYC,0.4700029481132076,0.7895047169811321,0.8618808962264151,1704,8
HeLa,ELK1,0.6687995124923827,0.9223034734917733,0.9366240097501524,553,6
SKNSH,YY1,0.8061773255813953,0.815843023255814,0.8851744186046512,364,20
HepG2,MNT,0.5354997154120201,0.7755549465607016,0.815608069650273,1198,41
