	TF	cell line	AUROC
1683	GATA4	nonCG_K562	0.472685668364949
1684	GFI1B	nonCG_K562	0.6201702893654746
1685	HES1	nonCG_K562	0.5632263815359239
1686	HLF	nonCG_K562	
1687	HNF1A	nonCG_K562	
1688	HNF4A	nonCG_K562	
1689	HNF4G	nonCG_K562	
1690	HOMEZ	nonCG_K562	
1691	HOXB13	nonCG_K562	0.6061904712415488
1692	HSF1	nonCG_K562	
1693	IRF1	nonCG_K562	0.8311917395822491
1694	IRF2	nonCG_K562	0.8230551494856354
1695	IRF3	nonCG_K562	
1696	IRF4	nonCG_K562	
1697	IRF5	nonCG_K562	
1698	JUN	nonCG_K562	0.7271089068124855
1699	JUNB	nonCG_K562	0.7141140800824479
1700	JUND	nonCG_K562	0.7733740624426605
1701	KLF1	nonCG_K562	0.6508808207678655
1702	KLF13	nonCG_K562	0.6151191444063016
1703	KLF16	nonCG_K562	0.5323845532380823
1704	KLF5	nonCG_K562	
1705	KLF6	nonCG_K562	
1706	MAFF	nonCG_K562	0.7935170392641219
1707	MAFK	nonCG_K562	0.7708963217201149
1708	MAX	nonCG_K562	0.6306667638504572
1709	MAZ	nonCG_K562	0.5269548914717042
1710	MEF2A	nonCG_K562	0.7643429253342023
1711	MEF2C	nonCG_K562	
1712	MEIS2	nonCG_K562	0.6661739911199095
1713	MGA	nonCG_K562	0.5246111415005255
1714	MITF	nonCG_K562	0.9029307652568096
1715	MLX	nonCG_K562	
1716	MXI1	nonCG_K562	0.5318129473747161
1717	MYB	nonCG_K562	
1718	MYC	nonCG_K562	0.542297952469086
1719	NEUROD1	nonCG_K562	0.5670469713853485
1720	NFATC1	nonCG_K562	
1721	NFATC3	nonCG_K562	
1722	NFE2	nonCG_K562	0.8561570211943207
1723	NFE2L2	nonCG_K562	0.815346631126456
1724	NFIA	nonCG_K562	0.8114730297476351
1725	NFIL3	nonCG_K562	
1726	NFYA	nonCG_K562	0.7203674391894513
1727	NFYB	nonCG_K562	0.7694439522905938
1728	NFYC	nonCG_K562	
1729	NKX2-1	nonCG_K562	
1730	NR2C1	nonCG_K562	0.7146921153978062
1731	NR2C2	nonCG_K562	0.7654838991794061
1732	NR2F1	nonCG_K562	0.687686093221214
1733	NR2F6	nonCG_K562	0.6428248448117181
1734	NR3C1	nonCG_K562	0.7028803195233553
1735	NRF1	nonCG_K562	0.6850465513069872
1736	PAX5	nonCG_K562	
1737	PBX2	nonCG_K562	0.6306115176030975
1738	PBX3	nonCG_K562	
1739	PKNOX1	nonCG_K562	0.536559864083047
1740	PLAG1	nonCG_K562	0.5625514578283518
1741	POU2F2	nonCG_K562	
1742	PPARG	nonCG_K562	
1743	PRDM1	nonCG_K562	
1744	RBPJ	nonCG_K562	
1745	RELA	nonCG_K562	0.6781940758050073
1746	RELB	nonCG_K562	
1747	REST	nonCG_K562	0.8146292640534223
1748	RFX1	nonCG_K562	0.7481300476420215
1749	RFX3	nonCG_K562	
1750	RFX5	nonCG_K562	0.8640183887419677
1751	RUNX1	nonCG_K562	0.6015198589624723
1752	RUNX3	nonCG_K562	
1753	RXRA	nonCG_K562	
1754	RXRB	nonCG_K562	
1755	SIX5	nonCG_K562	0.8952400663129879
1756	SMAD1	nonCG_K562	0.4855986840882242
1757	SMAD4	nonCG_K562	
1758	SMARCC1	nonCG_K562	
1759	SMARCC2	nonCG_K562	0.543658368934404
1760	SOX6	nonCG_K562	0.5384782494316427
1761	SP1	nonCG_K562	0.5824281840358111
1762	SP2	nonCG_K562	0.5984369707570127
1763	SP5	nonCG_K562	
1764	SPDEF	nonCG_K562	
1765	SPI1	nonCG_K562	0.8248226257860078
1766	SREBF1	nonCG_K562	0.7003104572647018
1767	SREBF2	nonCG_K562	
1768	SRF	nonCG_K562	0.7771294068304391
1769	STAT1	nonCG_K562	0.8060590999305536
1770	STAT2	nonCG_K562	0.8309809630338783
1771	STAT3	nonCG_K562	
1772	STAT5A	nonCG_K562	0.6367681180366411
1773	TAL1	nonCG_K562	0.5938255681554382
1774	TBX21	nonCG_K562	
1775	TBX3	nonCG_K562	
1776	TCF12	nonCG_K562	0.5474590630544719
1777	TCF3	nonCG_K562	
1778	TCF7	nonCG_K562	0.6204667347809788
1779	TCF7L2	nonCG_K562	0.7580217040573228
1780	TEAD1	nonCG_K562	
1781	TEAD3	nonCG_K562	
1782	TFAP4	nonCG_K562	
1783	TFDP1	nonCG_K562	0.6501536412212585
1784	TFE3	nonCG_K562	
1785	TGIF2	nonCG_K562	
1786	THAP1	nonCG_K562	0.6327100274600681
1787	THRB	nonCG_K562	
1788	TP53	nonCG_K562	
1789	TP73	nonCG_K562	
1790	USF1	nonCG_K562	0.8057081224625632
1791	USF2	nonCG_K562	0.7900973970400476
1792	YY1	nonCG_K562	0.7723497505224701
1793	YY2	nonCG_K562	
1794	ZBED1	nonCG_K562	
1795	ZBTB33	nonCG_K562	0.5195889399409255
1796	ZBTB7A	nonCG_K562	0.5789391070866029
1797	ZEB1	nonCG_K562	
1798	ZFX	nonCG_K562	0.5956347227340818
1799	ZKSCAN1	nonCG_K562	0.455242640969623
1800	ZNF143	nonCG_K562	0.8664049334800183
1801	ZNF148	nonCG_K562	0.618665668409425
1802	ZNF263	nonCG_K562	0.5632478199865586
1803	ZNF274	nonCG_K562	0.7593607344342063
1804	ZNF282	nonCG_K562	0.5090084919154211
1805	ZNF384	nonCG_K562	0.4927580439433995
1806	ZNF589	nonCG_K562	0.5736714053264114
1807	ZNF652	nonCG_K562	
1808	ZNF740	nonCG_K562	0.6453809854995537
1809	ZNF75A	nonCG_K562	0.7398269542029627
1810	AR	CG_SKNSH	
1811	ARID3A	CG_SKNSH	
1812	ATF1	CG_SKNSH	
1813	ATF2	CG_SKNSH	
1814	ATF3	CG_SKNSH	
1815	ATF4	CG_SKNSH	
1816	ATF7	CG_SKNSH	
1817	BACH1	CG_SKNSH	
1818	BATF	CG_SKNSH	
1819	BATF3	CG_SKNSH	
1820	BCL11A	CG_SKNSH	
1821	BCL6	CG_SKNSH	
1822	BHLHE40	CG_SKNSH	
1823	CBFB	CG_SKNSH	
1824	CEBPA	CG_SKNSH	
1825	CEBPB	CG_SKNSH	
1826	CEBPD	CG_SKNSH	
1827	CEBPG	CG_SKNSH	
1828	CEBPZ	CG_SKNSH	
1829	CREB3	CG_SKNSH	
1830	CREB3L1	CG_SKNSH	
1831	CREM	CG_SKNSH	
1832	CTCF	CG_SKNSH	0.8252455900000301
1833	CTCFL	CG_SKNSH	
1834	CUX1	CG_SKNSH	
1835	E2F1	CG_SKNSH	
1836	E2F4	CG_SKNSH	
1837	E2F6	CG_SKNSH	
1838	E2F8	CG_SKNSH	
1839	EBF1	CG_SKNSH	
1840	EGR1	CG_SKNSH	
1841	ELF1	CG_SKNSH	0.6635613732215487
1842	ELF3	CG_SKNSH	
1843	ELF4	CG_SKNSH	
1844	ELK1	CG_SKNSH	
1845	ELK4	CG_SKNSH	
1846	ERG	CG_SKNSH	
1847	ESRRA	CG_SKNSH	
1848	ETS1	CG_SKNSH	
1849	ETV1	CG_SKNSH	
1850	ETV4	CG_SKNSH	
1851	ETV5	CG_SKNSH	
1852	ETV6	CG_SKNSH	
1853	FOS	CG_SKNSH	
1854	FOSL1	CG_SKNSH	
1855	FOSL2	CG_SKNSH	0.6503955190279659
1856	FOXA2	CG_SKNSH	
1857	FOXA3	CG_SKNSH	
1858	FOXO3	CG_SKNSH	
1859	FOXP1	CG_SKNSH	
1860	GABPA	CG_SKNSH	0.7219608573257631
1861	GATA1	CG_SKNSH	
1862	GATA2	CG_SKNSH	
1863	GATA3	CG_SKNSH	0.7618141610162886
1864	GATA4	CG_SKNSH	
1865	GFI1B	CG_SKNSH	
1866	HES1	CG_SKNSH	
1867	HLF	CG_SKNSH	
1868	HNF1A	CG_SKNSH	
1869	HNF4A	CG_SKNSH	
1870	HNF4G	CG_SKNSH	
1871	HOMEZ	CG_SKNSH	
1872	HOXB13	CG_SKNSH	
1873	HSF1	CG_SKNSH	
1874	IRF1	CG_SKNSH	
1875	IRF2	CG_SKNSH	
1876	IRF3	CG_SKNSH	
1877	IRF4	CG_SKNSH	
1878	IRF5	CG_SKNSH	
1879	JUN	CG_SKNSH	
1880	JUNB	CG_SKNSH	
1881	JUND	CG_SKNSH	0.4741301409559576
1882	KLF1	CG_SKNSH	
1883	KLF13	CG_SKNSH	
1884	KLF16	CG_SKNSH	
1885	KLF5	CG_SKNSH	
1886	KLF6	CG_SKNSH	
1887	MAFF	CG_SKNSH	
1888	MAFK	CG_SKNSH	
1889	MAX	CG_SKNSH	0.5688617788261904
1890	MAZ	CG_SKNSH	
1891	MEF2A	CG_SKNSH	0.6404429387038082
1892	MEF2C	CG_SKNSH	
1893	MEIS2	CG_SKNSH	
1894	MGA	CG_SKNSH	
1895	MITF	CG_SKNSH	
1896	MLX	CG_SKNSH	
1897	MXI1	CG_SKNSH	0.6066775945066686
1898	MYB	CG_SKNSH	
1899	MYC	CG_SKNSH	
1900	NEUROD1	CG_SKNSH	
1901	NFATC1	CG_SKNSH	
1902	NFATC3	CG_SKNSH	
1903	NFE2	CG_SKNSH	
1904	NFE2L2	CG_SKNSH	
1905	NFIA	CG_SKNSH	
1906	NFIL3	CG_SKNSH	
1907	NFYA	CG_SKNSH	
1908	NFYB	CG_SKNSH	
1909	NFYC	CG_SKNSH	
1910	NKX2-1	CG_SKNSH	
1911	NR2C1	CG_SKNSH	
1912	NR2C2	CG_SKNSH	
1913	NR2F1	CG_SKNSH	
1914	NR2F6	CG_SKNSH	
1915	NR3C1	CG_SKNSH	
1916	NRF1	CG_SKNSH	0.7002205314935466
1917	PAX5	CG_SKNSH	
1918	PBX2	CG_SKNSH	
1919	PBX3	CG_SKNSH	0.5989045661685041
1920	PKNOX1	CG_SKNSH	
1921	PLAG1	CG_SKNSH	
1922	POU2F2	CG_SKNSH	
1923	PPARG	CG_SKNSH	
1924	PRDM1	CG_SKNSH	
1925	RBPJ	CG_SKNSH	
1926	RELA	CG_SKNSH	
1927	RELB	CG_SKNSH	
1928	REST	CG_SKNSH	0.7621271958287932
1929	RFX1	CG_SKNSH	
1930	RFX3	CG_SKNSH	
1931	RFX5	CG_SKNSH	0.7108751606926551
1932	RUNX1	CG_SKNSH	
1933	RUNX3	CG_SKNSH	
1934	RXRA	CG_SKNSH	0.5
1935	RXRB	CG_SKNSH	
1936	SIX5	CG_SKNSH	
1937	SMAD1	CG_SKNSH	
1938	SMAD4	CG_SKNSH	
1939	SMARCC1	CG_SKNSH	
1940	SMARCC2	CG_SKNSH	
1941	SOX6	CG_SKNSH	
1942	SP1	CG_SKNSH	
1943	SP2	CG_SKNSH	
1944	SP5	CG_SKNSH	
1945	SPDEF	CG_SKNSH	
1946	SPI1	CG_SKNSH	
1947	SREBF1	CG_SKNSH	
1948	SREBF2	CG_SKNSH	
1949	SRF	CG_SKNSH	
1950	STAT1	CG_SKNSH	
1951	STAT2	CG_SKNSH	
1952	STAT3	CG_SKNSH	
1953	STAT5A	CG_SKNSH	
1954	TAL1	CG_SKNSH	
1955	TBX21	CG_SKNSH	
1956	TBX3	CG_SKNSH	
1957	TCF12	CG_SKNSH	0.5023010463583626
1958	TCF3	CG_SKNSH	
1959	TCF7	CG_SKNSH	
1960	TCF7L2	CG_SKNSH	
1961	TEAD1	CG_SKNSH	
1962	TEAD3	CG_SKNSH	
1963	TFAP4	CG_SKNSH	
1964	TFDP1	CG_SKNSH	
1965	TFE3	CG_SKNSH	
1966	TGIF2	CG_SKNSH	
1967	THAP1	CG_SKNSH	
1968	THRB	CG_SKNSH	
1969	TP53	CG_SKNSH	
1970	TP73	CG_SKNSH	
1971	USF1	CG_SKNSH	0.6688426241789591
1972	USF2	CG_SKNSH	0.8442431650777369
1973	YY1	CG_SKNSH	0.7698923204497634
1974	YY2	CG_SKNSH	
1975	ZBED1	CG_SKNSH	
1976	ZBTB33	CG_SKNSH	
1977	ZBTB7A	CG_SKNSH	
1978	ZEB1	CG_SKNSH	
1979	ZFX	CG_SKNSH	
1980	ZKSCAN1	CG_SKNSH	
1981	ZNF143	CG_SKNSH	
1982	ZNF148	CG_SKNSH	
1983	ZNF263	CG_SKNSH	
1984	ZNF274	CG_SKNSH	
1985	ZNF282	CG_SKNSH	
1986	ZNF384	CG_SKNSH	
1987	ZNF589	CG_SKNSH	
1988	ZNF652	CG_SKNSH	
1989	ZNF740	CG_SKNSH	
1990	ZNF75A	CG_SKNSH	
1991	AR	nonCG_SKNSH	
1992	ARID3A	nonCG_SKNSH	
1993	ATF1	nonCG_SKNSH	
1994	ATF2	nonCG_SKNSH	
1995	ATF3	nonCG_SKNSH	
1996	ATF4	nonCG_SKNSH	
1997	ATF7	nonCG_SKNSH	
1998	BACH1	nonCG_SKNSH	
1999	BATF	nonCG_SKNSH	
2000	BATF3	nonCG_SKNSH	
2001	BCL11A	nonCG_SKNSH	
2002	BCL6	nonCG_SKNSH	
2003	BHLHE40	nonCG_SKNSH	
2004	CBFB	nonCG_SKNSH	
2005	CEBPA	nonCG_SKNSH	
2006	CEBPB	nonCG_SKNSH	
2007	CEBPD	nonCG_SKNSH	
2008	CEBPG	nonCG_SKNSH	
2009	CEBPZ	nonCG_SKNSH	
2010	CREB3	nonCG_SKNSH	
2011	CREB3L1	nonCG_SKNSH	
2012	CREM	nonCG_SKNSH	
2013	CTCF	nonCG_SKNSH	0.8405193884308094
2014	CTCFL	nonCG_SKNSH	
2015	CUX1	nonCG_SKNSH	
2016	E2F1	nonCG_SKNSH	
2017	E2F4	nonCG_SKNSH	
2018	E2F6	nonCG_SKNSH	
2019	E2F8	nonCG_SKNSH	
2020	EBF1	nonCG_SKNSH	
2021	EGR1	nonCG_SKNSH	
2022	ELF1	nonCG_SKNSH	0.7250287927268086
2023	ELF3	nonCG_SKNSH	
2024	ELF4	nonCG_SKNSH	
2025	ELK1	nonCG_SKNSH	
2026	ELK4	nonCG_SKNSH	
2027	ERG	nonCG_SKNSH	
2028	ESRRA	nonCG_SKNSH	
2029	ETS1	nonCG_SKNSH	
2030	ETV1	nonCG_SKNSH	
2031	ETV4	nonCG_SKNSH	
2032	ETV5	nonCG_SKNSH	
2033	ETV6	nonCG_SKNSH	
2034	FOS	nonCG_SKNSH	
2035	FOSL1	nonCG_SKNSH	
2036	FOSL2	nonCG_SKNSH	0.7156336716014603
2037	FOXA2	nonCG_SKNSH	
2038	FOXA3	nonCG_SKNSH	
2039	FOXO3	nonCG_SKNSH	
2040	FOXP1	nonCG_SKNSH	
2041	GABPA	nonCG_SKNSH	0.6663339688898704
2042	GATA1	nonCG_SKNSH	
2043	GATA2	nonCG_SKNSH	
2044	GATA3	nonCG_SKNSH	0.7153020309960232
2045	GATA4	nonCG_SKNSH	
2046	GFI1B	nonCG_SKNSH	
2047	HES1	nonCG_SKNSH	
2048	HLF	nonCG_SKNSH	
2049	HNF1A	nonCG_SKNSH	
2050	HNF4A	nonCG_SKNSH	
2051	HNF4G	nonCG_SKNSH	
2052	HOMEZ	nonCG_SKNSH	
2053	HOXB13	nonCG_SKNSH	
2054	HSF1	nonCG_SKNSH	
2055	IRF1	nonCG_SKNSH	
2056	IRF2	nonCG_SKNSH	
2057	IRF3	nonCG_SKNSH	
2058	IRF4	nonCG_SKNSH	
2059	IRF5	nonCG_SKNSH	
2060	JUN	nonCG_SKNSH	
2061	JUNB	nonCG_SKNSH	
2062	JUND	nonCG_SKNSH	0.7766779343894554
2063	KLF1	nonCG_SKNSH	
2064	KLF13	nonCG_SKNSH	
2065	KLF16	nonCG_SKNSH	
2066	KLF5	nonCG_SKNSH	
2067	KLF6	nonCG_SKNSH	
2068	MAFF	nonCG_SKNSH	
2069	MAFK	nonCG_SKNSH	
2070	MAX	nonCG_SKNSH	0.6136225835223897
2071	MAZ	nonCG_SKNSH	
2072	MEF2A	nonCG_SKNSH	0.713380193609319
2073	MEF2C	nonCG_SKNSH	
2074	MEIS2	nonCG_SKNSH	
2075	MGA	nonCG_SKNSH	
2076	MITF	nonCG_SKNSH	
2077	MLX	nonCG_SKNSH	
2078	MXI1	nonCG_SKNSH	0.5492459613175553
2079	MYB	nonCG_SKNSH	
2080	MYC	nonCG_SKNSH	
2081	NEUROD1	nonCG_SKNSH	
2082	NFATC1	nonCG_SKNSH	
2083	NFATC3	nonCG_SKNSH	
2084	NFE2	nonCG_SKNSH	
2085	NFE2L2	nonCG_SKNSH	
2086	NFIA	nonCG_SKNSH	
2087	NFIL3	nonCG_SKNSH	
2088	NFYA	nonCG_SKNSH	
2089	NFYB	nonCG_SKNSH	
2090	NFYC	nonCG_SKNSH	
2091	NKX2-1	nonCG_SKNSH	
2092	NR2C1	nonCG_SKNSH	
2093	NR2C2	nonCG_SKNSH	
2094	NR2F1	nonCG_SKNSH	
2095	NR2F6	nonCG_SKNSH	
2096	NR3C1	nonCG_SKNSH	
2097	NRF1	nonCG_SKNSH	0.6440649900522879
2098	PAX5	nonCG_SKNSH	
2099	PBX2	nonCG_SKNSH	
2100	PBX3	nonCG_SKNSH	0.5743463961485258
2101	PKNOX1	nonCG_SKNSH	
2102	PLAG1	nonCG_SKNSH	
2103	POU2F2	nonCG_SKNSH	
2104	PPARG	nonCG_SKNSH	
2105	PRDM1	nonCG_SKNSH	
2106	RBPJ	nonCG_SKNSH	
2107	RELA	nonCG_SKNSH	
2108	RELB	nonCG_SKNSH	
2109	REST	nonCG_SKNSH	0.7738927150138636
2110	RFX1	nonCG_SKNSH	
2111	RFX3	nonCG_SKNSH	
2112	RFX5	nonCG_SKNSH	0.7985140386017787
2113	RUNX1	nonCG_SKNSH	
2114	RUNX3	nonCG_SKNSH	
2115	RXRA	nonCG_SKNSH	0.583492090866617
2116	RXRB	nonCG_SKNSH	
2117	SIX5	nonCG_SKNSH	
2118	SMAD1	nonCG_SKNSH	
2119	SMAD4	nonCG_SKNSH	
2120	SMARCC1	nonCG_SKNSH	
2121	SMARCC2	nonCG_SKNSH	
2122	SOX6	nonCG_SKNSH	
2123	SP1	nonCG_SKNSH	
2124	SP2	nonCG_SKNSH	
2125	SP5	nonCG_SKNSH	
2126	SPDEF	nonCG_SKNSH	
2127	SPI1	nonCG_SKNSH	
2128	SREBF1	nonCG_SKNSH	
2129	SREBF2	nonCG_SKNSH	
2130	SRF	nonCG_SKNSH	
2131	STAT1	nonCG_SKNSH	
2132	STAT2	nonCG_SKNSH	
2133	STAT3	nonCG_SKNSH	
2134	STAT5A	nonCG_SKNSH	
2135	TAL1	nonCG_SKNSH	
2136	TBX21	nonCG_SKNSH	
2137	TBX3	nonCG_SKNSH	
2138	TCF12	nonCG_SKNSH	0.5360124811129169
2139	TCF3	nonCG_SKNSH	
2140	TCF7	nonCG_SKNSH	
2141	TCF7L2	nonCG_SKNSH	
2142	TEAD1	nonCG_SKNSH	
2143	TEAD3	nonCG_SKNSH	
2144	TFAP4	nonCG_SKNSH	
2145	TFDP1	nonCG_SKNSH	
2146	TFE3	nonCG_SKNSH	
2147	TGIF2	nonCG_SKNSH	
2148	THAP1	nonCG_SKNSH	
2149	THRB	nonCG_SKNSH	
2150	TP53	nonCG_SKNSH	
2151	TP73	nonCG_SKNSH	
2152	USF1	nonCG_SKNSH	0.8099643930546742
2153	USF2	nonCG_SKNSH	0.7630325160963406
2154	YY1	nonCG_SKNSH	0.7313737818212198
2155	YY2	nonCG_SKNSH	
2156	ZBED1	nonCG_SKNSH	
2157	ZBTB33	nonCG_SKNSH	
2158	ZBTB7A	nonCG_SKNSH	
2159	ZEB1	nonCG_SKNSH	
2160	ZFX	nonCG_SKNSH	
2161	ZKSCAN1	nonCG_SKNSH	
2162	ZNF143	nonCG_SKNSH	
2163	ZNF148	nonCG_SKNSH	
2164	ZNF263	nonCG_SKNSH	
2165	ZNF274	nonCG_SKNSH	
2166	ZNF282	nonCG_SKNSH	
2167	ZNF384	nonCG_SKNSH	
2168	ZNF589	nonCG_SKNSH	
2169	ZNF652	nonCG_SKNSH	
2170	ZNF740	nonCG_SKNSH	
2171	ZNF75A	nonCG_SKNSH	
